k_s,b_s,amp_body
1.500000000000000000e+04,5.000000000000000000e+02,7.507169404278208301e-03
1.500000000000000000e+04,1.000000000000000000e+03,1.185103482260693730e-02
1.500000000000000000e+04,1.500000000000000000e+03,1.653609995745703928e-02
1.500000000000000000e+04,2.000000000000000000e+03,2.116409713159465855e-02
1.500000000000000000e+04,2.500000000000000000e+03,2.561283063891688083e-02
1.500000000000000000e+04,3.000000000000000000e+03,2.983315346086623868e-02
2.000000000000000000e+04,5.000000000000000000e+02,8.953335508639168744e-03
2.000000000000000000e+04,1.000000000000000000e+03,1.290592722437203591e-02
2.000000000000000000e+04,1.500000000000000000e+03,1.741396567590476965e-02
2.000000000000000000e+04,2.000000000000000000e+03,2.196197839054379181e-02
2.000000000000000000e+04,2.500000000000000000e+03,2.637296027035773011e-02
2.000000000000000000e+04,3.000000000000000000e+03,3.057266122205840042e-02
2.500000000000000000e+04,5.000000000000000000e+02,1.059116395824306542e-02
2.500000000000000000e+04,1.000000000000000000e+03,1.416781256262143740e-02
2.500000000000000000e+04,1.500000000000000000e+03,1.846545544528119254e-02
2.500000000000000000e+04,2.000000000000000000e+03,2.290214172152716179e-02
2.500000000000000000e+04,2.500000000000000000e+03,2.725078151453157876e-02
2.500000000000000000e+04,3.000000000000000000e+03,3.141263705595060546e-02
3.000000000000000000e+04,5.000000000000000000e+02,1.238163976290913848e-02
3.000000000000000000e+04,1.000000000000000000e+03,1.561365968208445337e-02
3.000000000000000000e+04,1.500000000000000000e+03,1.968225626547272927e-02
3.000000000000000000e+04,2.000000000000000000e+03,2.398344315988795022e-02
3.000000000000000000e+04,2.500000000000000000e+03,2.824839516380588111e-02
3.000000000000000000e+04,3.000000000000000000e+03,3.235419413675987704e-02
3.500000000000000000e+04,5.000000000000000000e+02,1.430126139377214944e-02
3.500000000000000000e+04,1.000000000000000000e+03,1.722435437184557244e-02
3.500000000000000000e+04,1.500000000000000000e+03,2.105701668270894972e-02
3.500000000000000000e+04,2.000000000000000000e+03,2.520321954346420312e-02
3.500000000000000000e+04,2.500000000000000000e+03,2.936577374660867892e-02
3.500000000000000000e+04,3.000000000000000000e+03,3.339934000732798502e-02
4.000000000000000000e+04,5.000000000000000000e+02,1.634311600404740605e-02
4.000000000000000000e+04,1.000000000000000000e+03,1.898508320422109125e-02
4.000000000000000000e+04,1.500000000000000000e+03,2.258144034732038549e-02
4.000000000000000000e+04,2.000000000000000000e+03,2.655892869510314766e-02
4.000000000000000000e+04,2.500000000000000000e+03,3.060234761288609454e-02
4.000000000000000000e+04,3.000000000000000000e+03,3.454748424927306383e-02
