k_s,b_s,amp_body
1.500000000000000000e+04,5.000000000000000000e+02,1.876792351069552075e-03
1.500000000000000000e+04,1.000000000000000000e+03,2.962758705651734326e-03
1.500000000000000000e+04,1.500000000000000000e+03,4.134024989364259821e-03
1.500000000000000000e+04,2.000000000000000000e+03,5.291024282898664638e-03
1.500000000000000000e+04,2.500000000000000000e+03,6.403207659729220208e-03
1.500000000000000000e+04,3.000000000000000000e+03,7.458288365216559669e-03
2.000000000000000000e+04,5.000000000000000000e+02,2.238333877159792186e-03
2.000000000000000000e+04,1.000000000000000000e+03,3.226481806093008976e-03
2.000000000000000000e+04,1.500000000000000000e+03,4.353491418976192413e-03
2.000000000000000000e+04,2.000000000000000000e+03,5.490494597635947951e-03
2.000000000000000000e+04,2.500000000000000000e+03,6.593240067589432526e-03
2.000000000000000000e+04,3.000000000000000000e+03,7.643165305514600105e-03
2.500000000000000000e+04,5.000000000000000000e+02,2.647790989560766355e-03
2.500000000000000000e+04,1.000000000000000000e+03,3.541953140655359350e-03
2.500000000000000000e+04,1.500000000000000000e+03,4.616363861320298134e-03
2.500000000000000000e+04,2.000000000000000000e+03,5.725535430381790448e-03
2.500000000000000000e+04,2.500000000000000000e+03,6.812695378632894691e-03
2.500000000000000000e+04,3.000000000000000000e+03,7.853159263987651365e-03
3.000000000000000000e+04,5.000000000000000000e+02,3.095409940727284620e-03
3.000000000000000000e+04,1.000000000000000000e+03,3.903414920521113343e-03
3.000000000000000000e+04,1.500000000000000000e+03,4.920564066368182318e-03
3.000000000000000000e+04,2.000000000000000000e+03,5.995860789971987556e-03
3.000000000000000000e+04,2.500000000000000000e+03,7.062098790951470278e-03
3.000000000000000000e+04,3.000000000000000000e+03,8.088548534189969261e-03
3.500000000000000000e+04,5.000000000000000000e+02,3.575315348443037361e-03
3.500000000000000000e+04,1.000000000000000000e+03,4.306088592961393111e-03
3.500000000000000000e+04,1.500000000000000000e+03,5.264254170677237429e-03
3.500000000000000000e+04,2.000000000000000000e+03,6.300804885866050781e-03
3.500000000000000000e+04,2.500000000000000000e+03,7.341443436652169731e-03
3.500000000000000000e+04,3.000000000000000000e+03,8.349835001831996256e-03
4.000000000000000000e+04,5.000000000000000000e+02,4.085779001011851513e-03
4.000000000000000000e+04,1.000000000000000000e+03,4.746270801055272812e-03
4.000000000000000000e+04,1.500000000000000000e+03,5.645360086830096373e-03
4.000000000000000000e+04,2.000000000000000000e+03,6.639732173775786915e-03
4.000000000000000000e+04,2.500000000000000000e+03,7.650586903221523634e-03
4.000000000000000000e+04,3.000000000000000000e+03,8.636871062318265957e-03
