t,z_s
0.000000000000000000e+00,0.000000000000000000e+00
9.765625000000000000e-04,0.000000000000000000e+00
1.953125000000000000e-03,4.816374225936239918e-08
2.929687500000000000e-03,2.166093490228456429e-07
3.906250000000000000e-03,5.920978917575849850e-07
4.882812500000000000e-03,1.273196932865623872e-06
5.859375000000000000e-03,2.367710988292461261e-06
6.835937500000000000e-03,3.990362604203797214e-06
7.812500000000000000e-03,6.260708042052945694e-06
8.789062500000000000e-03,9.301271952471939759e-06
9.765625000000000000e-03,1.323588587462520009e-05
1.074218750000000000e-02,1.818821591060454954e-05
1.171875000000000000e-02,2.428046548215849238e-05
1.269531250000000000e-02,3.163223966887957557e-05
1.367187500000000000e-02,4.035955824346992122e-05
1.464843750000000000e-02,5.057400515253007559e-05
1.562500000000000000e-02,6.238200283315885135e-05
1.660156250000000000e-02,7.588420040014356267e-05
1.757812500000000000e-02,9.117496538015352103e-05
1.855468750000000000e-02,1.083419693034044936e-04
1.953125000000000000e-02,1.274658580857325149e-04
2.050781250000000000e-02,1.486199987415435229e-04
2.148437500000000000e-02,1.718702945579168417e-04
2.246093750000000000e-02,1.972750614299889822e-04
2.343750000000000000e-02,2.248849586058495492e-04
2.441406250000000000e-02,2.547429676141886113e-04
2.539062500000000000e-02,2.868844136488559989e-04
2.636718750000000000e-02,3.213370241606726928e-04
2.734375000000000000e-02,3.581210198579023053e-04
2.832031250000000000e-02,3.972492337426293280e-04
2.929687500000000000e-02,4.387272542110010206e-04
3.027343750000000000e-02,4.825535886211540829e-04
3.125000000000000000e-02,5.287198440841151892e-04
3.222656250000000000e-02,5.772109225606074281e-04
3.320312500000000000e-02,6.280052276512057769e-04
3.417968750000000000e-02,6.810748807494341507e-04
3.515625000000000000e-02,7.363859444880381175e-04
3.613281250000000000e-02,7.938986516486967217e-04
3.710937500000000000e-02,8.535676379257971019e-04
3.808593750000000000e-02,9.153421771365573539e-04
3.906250000000000000e-02,9.791664176537217840e-04
4.003906250000000000e-02,1.044979619004264429e-03
4.101562500000000000e-02,1.112716387729002906e-03
4.199218750000000000e-02,1.182306911734715875e-03
4.296875000000000000e-02,1.253677192493239580e-03
4.394531250000000000e-02,1.326749274552021639e-03
4.492187500000000000e-02,1.401441471918638080e-03
4.589843750000000000e-02,1.477668590968728071e-03
4.687500000000000000e-02,1.555342149603492060e-03
4.785156250000000000e-02,1.634370592450164889e-03
4.882812500000000000e-02,1.714659501957482412e-03
4.980468750000000000e-02,1.796111805288838192e-03
5.078125000000000000e-02,1.878627976959288759e-03
5.175781250000000000e-02,1.962106237199459213e-03
5.273437500000000000e-02,2.046442746060354433e-03
5.371093750000000000e-02,2.131531793298673590e-03
5.468750000000000000e-02,2.217265984103008666e-03
5.566406250000000000e-02,2.303536420737782846e-03
5.664062500000000000e-02,2.390232880194435514e-03
5.761718750000000000e-02,2.477243987948617079e-03
5.859375000000000000e-02,2.564457387928433321e-03
5.957031250000000000e-02,2.651759908802444818e-03
6.054687500000000000e-02,2.739037726697527830e-03
6.152343750000000000e-02,2.826176524456158745e-03
6.250000000000000000e-02,2.913061647540469805e-03
6.347656250000000000e-02,2.999578256686824280e-03
6.445312500000000000e-02,3.085611477409880114e-03
6.542968750000000000e-02,3.171046546449405104e-03
6.640625000000000000e-02,3.255768955246630958e-03
6.738281250000000000e-02,3.339664590529882373e-03
6.835937500000000000e-02,3.422619872081748837e-03
6.933593750000000000e-02,3.504521887752296613e-03
